epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46301,1.89063,3.10305,2.46294,0.00357,1,0.38638,0.21583,1.62527,3.80311,2.46853,0.00013336,0.00013336,0.00013336
2,8.96974,2.06661,3.11041,2.53735,0.00337,1,0.62738,0.41189,0.97423,3.71272,2.0263,0.000277779,0.000277779,0.000277779
3,14.2738,1.64108,2.91336,2.05424,0.00331,1,0.53833,0.30149,1.12706,3.55132,2.02885,0.000416257,0.000416257,0.000416257
4,19.1511,1.56148,2.82492,1.99982,0.00331,1,0.53833,0.30149,1.12706,3.55132,2.02885,0.000548793,0.000548793,0.000548793
5,23.4797,1.50807,2.65763,1.91306,0.0033,1,0.6375,0.29572,0.92825,3.67967,1.89704,0.000675388,0.000675388,0.000675388
6,27.9945,1.64439,2.67748,2.06518,0.0033,1,0.68406,0.44795,1.05908,3.5594,2.07279,0.000796043,0.000796043,0.000796043
7,32.6551,1.28318,2.3997,1.78653,0.0033,1,0.68406,0.44795,1.05908,3.5594,2.07279,0.000910755,0.000910755,0.000910755
8,38.1747,1.43489,2.27007,1.87982,0.0033,1,0.68406,0.44795,1.05908,3.5594,2.07279,0.00101953,0.00101953,0.00101953
9,42.825,1.51077,2.40275,1.95821,0.36322,1,0.705,0.4689,1.11617,3.04298,2.24624,0.00112236,0.00112236,0.00112236
10,47.0918,1.37345,2.20772,1.90088,0.36322,1,0.705,0.4689,1.11617,3.04298,2.24624,0.00121925,0.00121925,0.00121925
11,51.453,1.37858,2.14008,1.80893,0.36322,1,0.705,0.4689,1.11617,3.04298,2.24624,0.0013102,0.0013102,0.0013102
12,55.6602,1.44494,2.15583,1.82695,0.36322,1,0.705,0.4689,1.11617,3.04298,2.24624,0.00130393,0.00130393,0.00130393
13,59.9941,1.4822,2.22433,1.94975,0.52289,0.66667,0.70308,0.40752,1.70106,5.83766,2.47191,0.00127092,0.00127092,0.00127092
14,64.2199,1.2426,1.877,1.7182,0.52289,0.66667,0.70308,0.40752,1.70106,5.83766,2.47191,0.00123791,0.00123791,0.00123791
15,68.3297,1.52197,2.15225,2.01109,0.52289,0.66667,0.70308,0.40752,1.70106,5.83766,2.47191,0.00120491,0.00120491,0.00120491
16,72.5869,1.36928,1.9972,1.78255,0.52207,0.75,0.57643,0.26704,1.90488,6.10637,3.24878,0.0011719,0.0011719,0.0011719
17,76.715,1.10354,2.11406,1.66589,0.52207,0.75,0.57643,0.26704,1.90488,6.10637,3.24878,0.00113889,0.00113889,0.00113889
18,80.9281,1.61916,2.40078,1.97968,0.52207,0.75,0.57643,0.26704,1.90488,6.10637,3.24878,0.00110589,0.00110589,0.00110589
19,85.0824,1.25933,2.14616,1.7956,0.52207,0.75,0.57643,0.26704,1.90488,6.10637,3.24878,0.00107288,0.00107288,0.00107288
20,89.2497,1.34143,2.08669,1.74333,0.38627,0.66667,0.71374,0.41959,1.21629,5.59016,2.23567,0.00103987,0.00103987,0.00103987
21,93.6002,1.39221,2.01027,1.82404,0.38627,0.66667,0.71374,0.41959,1.21629,5.59016,2.23567,0.00100687,0.00100687,0.00100687
22,98.1949,1.34428,1.92129,1.81722,0.38627,0.66667,0.71374,0.41959,1.21629,5.59016,2.23567,0.000973861,0.000973861,0.000973861
23,102.689,1.22701,1.77978,1.66502,0.60285,0.83333,0.84125,0.54221,0.90568,3.59109,1.60297,0.000940855,0.000940855,0.000940855
24,108.116,1.50579,2.1059,1.89096,0.60285,0.83333,0.84125,0.54221,0.90568,3.59109,1.60297,0.000907848,0.000907848,0.000907848
25,113.141,1.2637,1.82515,1.83376,0.60285,0.83333,0.84125,0.54221,0.90568,3.59109,1.60297,0.000874842,0.000874842,0.000874842
26,117.382,1.13743,1.79758,1.71231,0.60285,0.83333,0.84125,0.54221,0.90568,3.59109,1.60297,0.000841835,0.000841835,0.000841835
27,122.259,1.12324,1.77293,1.55096,0.4879,0.83333,0.60319,0.47546,0.75248,4.03554,1.51174,0.000808828,0.000808828,0.000808828
28,126.795,0.96527,1.63674,1.44729,0.4879,0.83333,0.60319,0.47546,0.75248,4.03554,1.51174,0.000775822,0.000775822,0.000775822
29,131.195,1.12692,1.98293,1.57096,0.4879,0.83333,0.60319,0.47546,0.75248,4.03554,1.51174,0.000742815,0.000742815,0.000742815
30,136.598,1.05206,1.60379,1.5234,0.4879,0.83333,0.60319,0.47546,0.75248,4.03554,1.51174,0.000709809,0.000709809,0.000709809
31,141.404,1.13572,1.76816,1.69644,0.96452,0.82178,0.995,0.72562,0.88942,3.1911,1.60016,0.000676802,0.000676802,0.000676802
32,145.799,1.10604,1.63803,1.64447,0.96452,0.82178,0.995,0.72562,0.88942,3.1911,1.60016,0.000643795,0.000643795,0.000643795
33,150.037,0.90315,1.56576,1.41965,0.96452,0.82178,0.995,0.72562,0.88942,3.1911,1.60016,0.000610789,0.000610789,0.000610789
34,154.73,1.04823,1.84032,1.46338,0.90655,1,0.995,0.71503,0.91309,2.90409,1.76868,0.000577782,0.000577782,0.000577782
35,159.113,1.15416,1.6754,1.56522,0.90655,1,0.995,0.71503,0.91309,2.90409,1.76868,0.000544776,0.000544776,0.000544776
36,163.296,0.96059,1.53471,1.42047,0.90655,1,0.995,0.71503,0.91309,2.90409,1.76868,0.000511769,0.000511769,0.000511769
37,167.554,1.07107,1.66298,1.50503,0.90655,1,0.995,0.71503,0.91309,2.90409,1.76868,0.000478762,0.000478762,0.000478762
38,171.782,0.97693,1.52782,1.49743,0.92461,0.99503,0.995,0.75475,0.82676,2.41811,1.55298,0.000445756,0.000445756,0.000445756
39,176.028,1.06357,1.50583,1.43935,0.92461,0.99503,0.995,0.75475,0.82676,2.41811,1.55298,0.000412749,0.000412749,0.000412749
40,180.282,0.94534,1.61209,1.54716,0.92461,0.99503,0.995,0.75475,0.82676,2.41811,1.55298,0.000379743,0.000379743,0.000379743
41,184.448,0.91667,2.46569,1.3864,0.94641,0.83333,0.95375,0.75239,0.70634,2.37015,1.39259,0.000346736,0.000346736,0.000346736
42,188.549,0.80322,2.39909,1.38668,0.94641,0.83333,0.95375,0.75239,0.70634,2.37015,1.39259,0.000313729,0.000313729,0.000313729
43,192.625,0.98148,2.87245,1.60462,0.94641,0.83333,0.95375,0.75239,0.70634,2.37015,1.39259,0.000280723,0.000280723,0.000280723
44,196.824,0.7589,2.40278,1.47631,0.94641,0.83333,0.95375,0.75239,0.70634,2.37015,1.39259,0.000247716,0.000247716,0.000247716
45,200.929,0.8372,2.25917,1.4038,0.78685,0.98339,0.95375,0.7685,0.73742,2.3216,1.39601,0.00021471,0.00021471,0.00021471
46,205.065,0.78006,2.19131,1.34035,0.78685,0.98339,0.95375,0.7685,0.73742,2.3216,1.39601,0.000181703,0.000181703,0.000181703
47,209.157,0.88824,2.2399,1.49141,0.78685,0.98339,0.95375,0.7685,0.73742,2.3216,1.39601,0.000148696,0.000148696,0.000148696
48,213.467,0.87224,2.29496,1.54248,0.94712,0.83333,0.95375,0.76738,0.80259,2.23648,1.4429,0.00011569,0.00011569,0.00011569
49,217.692,0.88087,2.2842,1.60771,0.94712,0.83333,0.95375,0.76738,0.80259,2.23648,1.4429,8.26832e-05,8.26832e-05,8.26832e-05
50,221.853,0.72922,2.13373,1.45397,0.94712,0.83333,0.95375,0.76738,0.80259,2.23648,1.4429,4.96766e-05,4.96766e-05,4.96766e-05
