epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.80592,1.67769,2.91551,1.96032,0.0036,1,0.398,0.1516,1.10669,3.72707,1.94604,1.667e-05,1.667e-05,1.667e-05
2,10.9835,1.84809,3.07604,2.49774,0.00355,1,0.40821,0.19887,0.98511,3.71491,1.81863,4.90198e-05,4.90198e-05,4.90198e-05
3,15.7213,1.70829,3.00325,2.13458,0.00347,1,0.39108,0.30345,0.8645,3.72643,1.77674,8.00493e-05,8.00493e-05,8.00493e-05
4,20.3253,1.72653,2.87683,2.16329,0.00339,1,0.59145,0.39604,0.89611,3.73125,1.73001,0.000109759,0.000109759,0.000109759
5,25.0161,1.42264,2.73559,1.7385,0.00332,1,0.62798,0.41419,1.05094,3.70587,1.76689,0.000138148,0.000138148,0.000138148
6,29.6756,1.43044,2.60602,1.68816,0.00332,1,0.65655,0.4212,0.96982,3.64616,1.63844,0.000165216,0.000165216,0.000165216
7,34.2083,1.15157,2.44157,1.59844,0.00332,1,0.555,0.37691,0.85309,3.55193,1.58897,0.000190965,0.000190965,0.000190965
8,38.8058,1.17052,2.16499,1.70259,0.00331,1,0.59692,0.38624,0.71606,3.54186,1.47744,0.000215393,0.000215393,0.000215393
9,43.702,1.42315,2.21693,1.85566,0.00331,1,0.75354,0.54415,0.74021,3.51461,1.52716,0.000238501,0.000238501,0.000238501
10,49.0173,0.92657,2.04763,1.50073,0.0033,1,0.80643,0.55276,0.80703,3.50544,1.56153,0.000260289,0.000260289,0.000260289
11,54.2501,0.98714,1.82598,1.48671,0.0033,1,0.78558,0.49019,0.81759,3.52671,1.6028,0.000280756,0.000280756,0.000280756
12,59.4884,1.20781,1.80525,1.58002,0.0033,1,0.753,0.56447,0.78647,3.48494,1.60316,0.000299903,0.000299903,0.000299903
13,64.7336,1.15237,1.99032,1.77604,0.0033,1,0.67474,0.45508,0.75537,3.4994,1.60681,0.00031773,0.00031773,0.00031773
14,69.8668,1.27847,1.87696,1.66277,0.00331,1,0.66181,0.46361,0.92227,3.47063,1.75781,0.000334237,0.000334237,0.000334237
15,75.1616,1.37879,1.60497,1.90494,0.00332,1,0.67202,0.48736,1.12042,3.54316,1.80906,0.000349423,0.000349423,0.000349423
16,80.479,1.03918,1.52436,1.48226,0.0033,1,0.76902,0.56255,0.97976,3.5266,1.72618,0.000363289,0.000363289,0.000363289
17,85.6455,1.28173,1.4937,1.55422,0.00331,1,0.81625,0.65054,0.76942,3.18311,1.66133,0.000375835,0.000375835,0.000375835
18,90.9082,0.9996,1.66829,1.51974,0.00335,1,0.86536,0.63039,0.82921,3.11446,1.70302,0.000387061,0.000387061,0.000387061
19,96.2783,1.09141,1.65702,1.75929,0.00337,1,0.89187,0.65106,0.82577,3.04579,1.71896,0.000396966,0.000396966,0.000396966
20,101.213,0.86249,1.44203,1.3375,0.24184,1,0.874,0.62337,0.84237,2.98298,1.67463,0.000405551,0.000405551,0.000405551
21,105.779,0.98725,1.46758,1.41506,0.79231,0.83333,0.95375,0.68012,0.93773,2.90771,1.6856,0.000412816,0.000412816,0.000412816
22,110.483,1.49183,1.62059,1.93812,0.85971,0.83333,0.929,0.69914,0.90783,2.86191,1.66148,0.00041876,0.00041876,0.00041876
23,115.031,0.98351,1.37664,1.38087,0.68256,0.83333,0.875,0.67105,0.87029,3.02623,1.58939,0.000423385,0.000423385,0.000423385
24,119.575,1.33198,1.55303,1.68718,0.90397,0.83333,0.84904,0.61362,1.07284,3.18203,1.86311,0.000426689,0.000426689,0.000426689
25,124.131,0.9537,1.30518,1.38386,0.93703,0.72546,0.8575,0.56563,1.10033,3.09695,1.79944,0.000428672,0.000428672,0.000428672
26,128.943,1.09719,1.23169,1.48027,1,0.49821,0.85062,0.45219,1.13218,3.15915,1.79839,0.000429336,0.000429336,0.000429336
27,134.142,0.95793,1.30234,1.37878,0.97823,0.5,0.70183,0.40343,0.96872,3.03652,1.62845,0.000428679,0.000428679,0.000428679
28,139.702,0.81144,1.21104,1.36489,0.97823,0.5,0.70183,0.40343,0.96872,3.03652,1.62845,0.000426702,0.000426702,0.000426702
29,145.012,1.08541,1.46492,1.4972,0.99507,0.5,0.78875,0.51572,0.72957,2.75542,1.39612,0.000423405,0.000423405,0.000423405
30,150.392,0.73968,1.04653,1.19865,0.63556,0.77881,0.89187,0.7629,0.61073,2.48005,1.34673,0.000418787,0.000418787,0.000418787
31,155.525,0.99517,1.40967,1.66277,0.63556,0.77881,0.89187,0.7629,0.61073,2.48005,1.34673,0.000412849,0.000412849,0.000412849
32,160.755,0.84771,1.17849,1.34027,0.8654,0.80566,0.929,0.78292,0.58655,2.25784,1.27767,0.000405591,0.000405591,0.000405591
33,165.862,1.01956,1.36864,1.45853,0.92947,0.96778,0.995,0.8955,0.62182,2.10396,1.24748,0.000397013,0.000397013,0.000397013
34,170.367,0.9739,1.20729,1.37265,0.92947,0.96778,0.995,0.8955,0.62182,2.10396,1.24748,0.000387114,0.000387114,0.000387114
35,174.91,0.88487,1.29914,1.33669,0.97776,0.94174,0.995,0.84575,0.70425,2.00701,1.3378,0.000375895,0.000375895,0.000375895
36,179.209,1.15159,1.28272,1.89917,0.90419,0.94996,0.995,0.79815,0.80173,2.11258,1.46872,0.000363356,0.000363356,0.000363356
37,183.587,1.20758,1.77451,2.15086,0.90419,0.94996,0.995,0.79815,0.80173,2.11258,1.46872,0.000349497,0.000349497,0.000349497
