epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.85777,1.75882,3.0011,2.1942,0.00353,1,0.39954,0.21446,1.04744,3.74386,1.86069,6.668e-05,6.668e-05,6.668e-05
2,11.3195,1.76055,2.98676,2.31134,0.00345,1,0.50113,0.34536,0.8609,3.66064,1.71374,0.00010052,0.00010052,0.00010052
3,16.627,1.7001,2.96198,2.12663,0.00338,1,0.50775,0.33928,0.84777,3.70347,1.66228,7.93492e-05,7.93492e-05,7.93492e-05
